State,Year,Population
Oklahoma,2014,3818851
Oregon,2014,3900343
Pennsylvania,2014,12758729
Rhode Island,2014,1053252
South Carolina,2014,4727273
South Dakota,2014,834708
Tennessee,2014,6451365
Texas,2014,26092033
Utah,2014,2858111
Vermont,2014,626358
Virginia,2014,8185131
Washington,2014,6899123
West Virginia,2014,1853881
Wisconsin,2014,5724692
Wyoming,2014,575251
Puerto Rico,2014,3638965
Alabama,2013,4799277
Alaska,2013,720316
Arizona,2013,6479703
Arkansas,2013,2933369
California,2013,37659181
Colorado,2013,5119329
Connecticut,2013,3583561
Delaware,2013,908446
District of Columbia,2013,619371
Florida,2013,19091156
Georgia,2013,9810417
Hawaii,2013,1376298
Idaho,2013,1583364
Illinois,2013,12848554
Indiana,2013,6514861
Iowa,2013,3062553
Kansas,2013,2868107
Kentucky,2013,4361333
Louisiana,2013,4567968
Maine,2013,1328320
Maryland,2013,5834299
Massachusetts,2013,6605058
Michigan,2013,9886095
Minnesota,2013,5347740
Mississippi,2013,2976872
Missouri,2013,6007182
Montana,2013,998554
Nebraska,2013,1841625
Nevada,2013,2730066
New Hampshire,2013,1319171
New Jersey,2013,8832406
New Mexico,2013,2069706
New York,2013,19487053
North Carolina,2013,9651380
North Dakota,2013,689781
Ohio,2013,11549590
Oklahoma,2013,3785742
Oregon,2013,3868721
Pennsylvania,2013,12731381
Rhode Island,2013,1051695
South Carolina,2013,4679602
South Dakota,2013,825198
Tennessee,2013,6402387
Texas,2013,25639373
Utah,2013,2813673
Vermont,2013,625904
Virginia,2013,8100653
Washington,2013,6819579
West Virginia,2013,1853619
Wisconsin,2013,5706871
Wyoming,2013,570134
Puerto Rico,2013,3682966
